"AccountId","BillingCity","Year","Givings","AvgGivings","DonorClass"
"001j000000eFTe1AAG","Dublin","2016","200","200","1"
"001j000000eGDNhAAO","Bethesda","2016","200","200","1"
"001j000000eGIUQAA4","Houston","2016","25","25","1"
"001j000000eGIYSAA4","Houston","2016","50","50","1"
"001j000000eGlhQAAS","Dallas","2016","60","60","1"
"001j000000eG93yAAC","Bryan","2016","20","20","1"
"001j000000eH2VIAA0","Virginia Beach","2016","125","125","1"
"001j000000fTlyaAAC","Wilmington","2013","1051","1051","3"
"001j000000fTlydAAC","Raleigh","2011","600","600","2"
"001j000000fTlydAAC","Raleigh","2010","600","600","2"
"001j000000fTlyfAAC","Reston","2012","5150","6937.856","4"
"001j000000fTlyfAAC","Reston","2013","7820","6937.856","4"
"001j000000fTlyfAAC","Reston","2014","7500","6937.856","4"
"001j000000fTlyfAAC","Reston","2016","6953.04","6937.856","4"
"001j000000fTlyfAAC","Reston","2015","7266.24","6937.856","4"
"001j000000fTlyhAAC","Southport","2014","5300","4767.904","3"
"001j000000fTlyhAAC","Southport","2016","5825.52","4767.904","3"
"001j000000fTlyhAAC","Southport","2015","6264","4767.904","3"
"001j000000fTlyhAAC","Southport","2013","3750","4767.904","3"
"001j000000fTlyhAAC","Southport","2012","2700","4767.904","3"
"001j000000fTlyKAAS","Wilmington","2010","2500","1492.011","3"
"001j000000fTlyKAAS","Wilmington","2013","2500","1492.011","3"
"001j000000fTlyKAAS","Wilmington","2015","2500","1492.011","3"
"001j000000fTlyKAAS","Wilmington","2016","2944.08","1492.011","3"
"001j000000fTlymAAC","Wake Forest","2015","5888","4015.151","3"
"001j000000fTlymAAC","Wake Forest","2016","5889.28","4015.151","3"
"001j000000fTlymAAC","Wake Forest","2013","7500","4015.151","3"
"001j000000fTlymAAC","Wake Forest","2010","1323.78","4015.151","3"
"001j000000fTlymAAC","Wake Forest","2014","5000","4015.151","3"
"001j000000fTlymAAC","Wake Forest","2011","2505","4015.151","3"
"001j000000fTlynAAC","Chapel Hill","2013","2620","1960","3"
"001j000000fTlynAAC","Chapel Hill","2015","5800","1960","3"
"001j000000fTlynAAC","Chapel Hill","2011","2500","1960","3"
"001j000000fTlynAAC","Chapel Hill","2014","530","1960","3"
"001j000000fTlynAAC","Chapel Hill","2016","200","1960","3"
"001j000000fTlynAAC","Chapel Hill","2012","110","1960","3"
"001j000000fTlyoAAC","Victoria","2011","2500","2294.68","3"
"001j000000fTlyoAAC","Victoria","2016","2944.08","2294.68","3"
"001j000000fTlyoAAC","Victoria","2012","2500","2294.68","3"
"001j000000fTlyoAAC","Victoria","2014","300","2294.68","3"
"001j000000fTlyoAAC","Victoria","2013","5524","2294.68","3"
"001j000000fTlypAAC","Wake Forest","2011","2500","3709.44","3"
"001j000000fTlypAAC","Wake Forest","2015","2500","3709.44","3"
"001j000000fTlypAAC","Wake Forest","2010","1706.16","3709.44","3"
"001j000000fTlypAAC","Wake Forest","2014","5000","3709.44","3"
"001j000000fTlypAAC","Wake Forest","2016","8479.92","3709.44","3"
"001j000000fTlypAAC","Wake Forest","2013","5780","3709.44","3"
"001j000000fTlyuAAC","Durham","2016","250","133.333","1"
"001j000000fTlyuAAC","Durham","2014","150","133.333","1"
"001j000000fTlyvAAC","Greenville","2010","1250","1250","3"
"001j000000fTlzcAAC","Farmville","2013","2500","2500","3"
"001j000000fTlzdAAC","WinstonSalem","2012","1000","2833.333","3"
"001j000000fTlzdAAC","WinstonSalem","2011","5000","2833.333","3"
"001j000000fTlzdAAC","WinstonSalem","2010","2500","2833.333","3"
"001j000000fTlzDAAS","Lynchburg","2015","5844","5622","4"
"001j000000fTlzDAAS","Lynchburg","2014","5400","5622","4"
"001j000000fTlzfAAC","New Bern","2016","3072.71","1282.736","3"
"001j000000fTlzfAAC","New Bern","2015","3081.44","1282.736","3"
"001j000000fTlzfAAC","New Bern","2010","2825","1282.736","3"
"001j000000fTlzFAAS","Pink Hill","2013","1900","1900","3"
"001j000000fTlzhAAC","Pikeville","2014","210","1092.678","3"
"001j000000fTlzhAAC","Pikeville","2012","2503.39","1092.678","3"
"001j000000fTlzhAAC","Pikeville","2010","2750","1092.678","3"
"001j000000fTlziAAC","Charlotte","2010","326.91","5341.376","4"
"001j000000fTlziAAC","Charlotte","2015","12840.08","5341.376","4"
"001j000000fTlziAAC","Charlotte","2016","24222.64","5341.376","4"
"001j000000fTlzKAAS","Kinston","2013","75","387","1"
"001j000000fTlzKAAS","Kinston","2010","200","387","1"
"001j000000fTlzKAAS","Kinston","2012","416.67","387","1"
"001j000000fTlzKAAS","Kinston","2015","484","387","1"
"001j000000fTlzKAAS","Kinston","2016","483.33","387","1"
"001j000000fTlzKAAS","Kinston","2011","1050","387","1"
"001j000000fTlzmAAC","Clayton","2011","3750","1206.297","3"
"001j000000fTlzmAAC","Clayton","2016","2194.08","1206.297","3"
